[2026-06-04T15:42:00.205+0000] {local_task_job_runner.py:120} INFO - ::group::Pre task execution logs
[2026-06-04T15:42:00.254+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: minio_to_snowflake.download_minio scheduled__2026-06-04T15:40:00+00:00 [queued]>
[2026-06-04T15:42:00.272+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: minio_to_snowflake.download_minio scheduled__2026-06-04T15:40:00+00:00 [queued]>
[2026-06-04T15:42:00.273+0000] {taskinstance.py:2306} INFO - Starting attempt 1 of 2
[2026-06-04T15:42:00.292+0000] {taskinstance.py:2330} INFO - Executing <Task(PythonOperator): download_minio> on 2026-06-04 15:40:00+00:00
[2026-06-04T15:42:00.307+0000] {standard_task_runner.py:90} INFO - Running: ['***', 'tasks', 'run', 'minio_to_snowflake', 'download_minio', 'scheduled__2026-06-04T15:40:00+00:00', '--job-id', '192', '--raw', '--subdir', 'DAGS_FOLDER/minio_to_snowflake.py', '--cfg-path', '/tmp/tmpxv6mb20w']
[2026-06-04T15:42:00.312+0000] {standard_task_runner.py:91} INFO - Job 192: Subtask download_minio
[2026-06-04T15:42:00.316+0000] {logging_mixin.py:188} WARNING - /home/***/.local/lib/python3.12/site-packages/***/task/task_runner/standard_task_runner.py:62 DeprecationWarning: This process (pid=61441) is multi-threaded, use of fork() may lead to deadlocks in the child.
[2026-06-04T15:42:00.317+0000] {standard_task_runner.py:64} INFO - Started process 61447 to run task
[2026-06-04T15:42:00.482+0000] {task_command.py:426} INFO - Running <TaskInstance: minio_to_snowflake.download_minio scheduled__2026-06-04T15:40:00+00:00 [running]> on host 125711930d3c
[2026-06-04T15:42:00.694+0000] {taskinstance.py:2648} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='***' AIRFLOW_CTX_DAG_ID='minio_to_snowflake' AIRFLOW_CTX_TASK_ID='download_minio' AIRFLOW_CTX_EXECUTION_DATE='2026-06-04T15:40:00+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='scheduled__2026-06-04T15:40:00+00:00'
[2026-06-04T15:42:00.696+0000] {taskinstance.py:430} INFO - ::endgroup::
[2026-06-04T15:42:01.519+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1780528763.json -> /tmp/minio_downloads/1780528763.json
[2026-06-04T15:42:01.532+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1780528782.json -> /tmp/minio_downloads/1780528782.json
[2026-06-04T15:42:01.544+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1780528791.json -> /tmp/minio_downloads/1780528791.json
