[2026-06-04T16:40:03.527+0000] {local_task_job_runner.py:120} INFO - ::group::Pre task execution logs
[2026-06-04T16:40:03.583+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: minio_to_snowflake.download_minio scheduled__2026-06-04T16:38:00+00:00 [queued]>
[2026-06-04T16:40:03.605+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: minio_to_snowflake.download_minio scheduled__2026-06-04T16:38:00+00:00 [queued]>
[2026-06-04T16:40:03.610+0000] {taskinstance.py:2306} INFO - Starting attempt 1 of 2
[2026-06-04T16:40:03.628+0000] {taskinstance.py:2330} INFO - Executing <Task(PythonOperator): download_minio> on 2026-06-04 16:38:00+00:00
[2026-06-04T16:40:03.647+0000] {standard_task_runner.py:90} INFO - Running: ['***', 'tasks', 'run', 'minio_to_snowflake', 'download_minio', 'scheduled__2026-06-04T16:38:00+00:00', '--job-id', '228', '--raw', '--subdir', 'DAGS_FOLDER/minio_to_snowflake.py', '--cfg-path', '/tmp/tmpwfqnm29e']
[2026-06-04T16:40:03.651+0000] {standard_task_runner.py:91} INFO - Job 228: Subtask download_minio
[2026-06-04T16:40:03.658+0000] {logging_mixin.py:188} WARNING - /home/***/.local/lib/python3.12/site-packages/***/task/task_runner/standard_task_runner.py:62 DeprecationWarning: This process (pid=92101) is multi-threaded, use of fork() may lead to deadlocks in the child.
[2026-06-04T16:40:03.660+0000] {standard_task_runner.py:64} INFO - Started process 92107 to run task
[2026-06-04T16:40:03.773+0000] {task_command.py:426} INFO - Running <TaskInstance: minio_to_snowflake.download_minio scheduled__2026-06-04T16:38:00+00:00 [running]> on host 125711930d3c
[2026-06-04T16:40:03.940+0000] {taskinstance.py:2648} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='***' AIRFLOW_CTX_DAG_ID='minio_to_snowflake' AIRFLOW_CTX_TASK_ID='download_minio' AIRFLOW_CTX_EXECUTION_DATE='2026-06-04T16:38:00+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='scheduled__2026-06-04T16:38:00+00:00'
[2026-06-04T16:40:03.942+0000] {taskinstance.py:430} INFO - ::endgroup::
[2026-06-04T16:40:04.564+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1780528763.json -> /tmp/minio_downloads/1780528763.json
[2026-06-04T16:40:04.579+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1780528782.json -> /tmp/minio_downloads/1780528782.json
[2026-06-04T16:40:04.592+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1780528791.json -> /tmp/minio_downloads/1780528791.json
[2026-06-04T16:40:04.604+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1780528801.json -> /tmp/minio_downloads/1780528801.json
[2026-06-04T16:40:04.620+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1780528811.json -> /tmp/minio_downloads/1780528811.json
[2026-06-04T16:40:04.632+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1780528820.json -> /tmp/minio_downloads/1780528820.json
[2026-06-04T16:40:04.644+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1780528830.json -> /tmp/minio_downloads/1780528830.json
[2026-06-04T16:40:04.659+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1780528839.json -> /tmp/minio_downloads/1780528839.json
[2026-06-04T16:40:04.677+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1780528849.json -> /tmp/minio_downloads/1780528849.json
[2026-06-04T16:40:04.698+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1780528858.json -> /tmp/minio_downloads/1780528858.json
[2026-06-04T16:40:04.724+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1780528868.json -> /tmp/minio_downloads/1780528868.json
[2026-06-04T16:40:04.738+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1780528877.json -> /tmp/minio_downloads/1780528877.json
[2026-06-04T16:40:04.768+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1780528886.json -> /tmp/minio_downloads/1780528886.json
[2026-06-04T16:40:04.806+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1780528896.json -> /tmp/minio_downloads/1780528896.json
[2026-06-04T16:40:04.835+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1780528906.json -> /tmp/minio_downloads/1780528906.json
[2026-06-04T16:40:04.860+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1780528915.json -> /tmp/minio_downloads/1780528915.json
[2026-06-04T16:40:04.879+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1780528925.json -> /tmp/minio_downloads/1780528925.json
[2026-06-04T16:40:04.912+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1780528934.json -> /tmp/minio_downloads/1780528934.json
[2026-06-04T16:40:04.938+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1780528943.json -> /tmp/minio_downloads/1780528943.json
[2026-06-04T16:40:04.954+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1780528953.json -> /tmp/minio_downloads/1780528953.json
[2026-06-04T16:40:04.966+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1780528963.json -> /tmp/minio_downloads/1780528963.json
[2026-06-04T16:40:04.990+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1780528972.json -> /tmp/minio_downloads/1780528972.json
[2026-06-04T16:40:05.003+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1780528982.json -> /tmp/minio_downloads/1780528982.json
[2026-06-04T16:40:05.017+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1780528991.json -> /tmp/minio_downloads/1780528991.json
[2026-06-04T16:40:05.035+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1780529001.json -> /tmp/minio_downloads/1780529001.json
[2026-06-04T16:40:05.056+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1780529010.json -> /tmp/minio_downloads/1780529010.json
[2026-06-04T16:40:05.083+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1780529020.json -> /tmp/minio_downloads/1780529020.json
[2026-06-04T16:40:05.102+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1780529030.json -> /tmp/minio_downloads/1780529030.json
[2026-06-04T16:40:05.121+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1780529039.json -> /tmp/minio_downloads/1780529039.json
[2026-06-04T16:40:05.139+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1780529049.json -> /tmp/minio_downloads/1780529049.json
[2026-06-04T16:40:05.159+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1780529058.json -> /tmp/minio_downloads/1780529058.json
[2026-06-04T16:40:05.183+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1780529068.json -> /tmp/minio_downloads/1780529068.json
[2026-06-04T16:40:05.202+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1780529077.json -> /tmp/minio_downloads/1780529077.json
[2026-06-04T16:40:05.215+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1780529086.json -> /tmp/minio_downloads/1780529086.json
[2026-06-04T16:40:05.233+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1780529096.json -> /tmp/minio_downloads/1780529096.json
[2026-06-04T16:40:05.249+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1780529106.json -> /tmp/minio_downloads/1780529106.json
[2026-06-04T16:40:05.293+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1780529115.json -> /tmp/minio_downloads/1780529115.json
[2026-06-04T16:40:05.316+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1780529125.json -> /tmp/minio_downloads/1780529125.json
[2026-06-04T16:40:05.341+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1780529134.json -> /tmp/minio_downloads/1780529134.json
[2026-06-04T16:40:05.359+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1780529144.json -> /tmp/minio_downloads/1780529144.json
[2026-06-04T16:40:05.370+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1780529153.json -> /tmp/minio_downloads/1780529153.json
[2026-06-04T16:40:05.398+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1780529163.json -> /tmp/minio_downloads/1780529163.json
[2026-06-04T16:40:05.415+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1780529172.json -> /tmp/minio_downloads/1780529172.json
[2026-06-04T16:40:05.435+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1780529182.json -> /tmp/minio_downloads/1780529182.json
[2026-06-04T16:40:05.450+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1780529191.json -> /tmp/minio_downloads/1780529191.json
[2026-06-04T16:40:05.461+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1780529201.json -> /tmp/minio_downloads/1780529201.json
[2026-06-04T16:40:05.477+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1780529211.json -> /tmp/minio_downloads/1780529211.json
[2026-06-04T16:40:05.492+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1780529221.json -> /tmp/minio_downloads/1780529221.json
[2026-06-04T16:40:05.511+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1780529230.json -> /tmp/minio_downloads/1780529230.json
[2026-06-04T16:40:05.529+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1780529239.json -> /tmp/minio_downloads/1780529239.json
[2026-06-04T16:40:05.549+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1780529249.json -> /tmp/minio_downloads/1780529249.json
[2026-06-04T16:40:05.587+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1780529258.json -> /tmp/minio_downloads/1780529258.json
[2026-06-04T16:40:05.609+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1780529268.json -> /tmp/minio_downloads/1780529268.json
[2026-06-04T16:40:05.632+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1780529277.json -> /tmp/minio_downloads/1780529277.json
[2026-06-04T16:40:05.649+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1780529288.json -> /tmp/minio_downloads/1780529288.json
[2026-06-04T16:40:05.663+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1780529298.json -> /tmp/minio_downloads/1780529298.json
[2026-06-04T16:40:05.679+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1780529307.json -> /tmp/minio_downloads/1780529307.json
[2026-06-04T16:40:05.694+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1780529316.json -> /tmp/minio_downloads/1780529316.json
[2026-06-04T16:40:05.703+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1780529325.json -> /tmp/minio_downloads/1780529325.json
[2026-06-04T16:40:05.715+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1780529335.json -> /tmp/minio_downloads/1780529335.json
[2026-06-04T16:40:05.728+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1780529344.json -> /tmp/minio_downloads/1780529344.json
[2026-06-04T16:40:05.740+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1780529354.json -> /tmp/minio_downloads/1780529354.json
[2026-06-04T16:40:05.751+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1780529363.json -> /tmp/minio_downloads/1780529363.json
[2026-06-04T16:40:05.761+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1780529373.json -> /tmp/minio_downloads/1780529373.json
[2026-06-04T16:40:05.771+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1780529382.json -> /tmp/minio_downloads/1780529382.json
[2026-06-04T16:40:05.783+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1780529391.json -> /tmp/minio_downloads/1780529391.json
[2026-06-04T16:40:05.793+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1780529401.json -> /tmp/minio_downloads/1780529401.json
[2026-06-04T16:40:05.810+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1780529411.json -> /tmp/minio_downloads/1780529411.json
[2026-06-04T16:40:05.822+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1780529420.json -> /tmp/minio_downloads/1780529420.json
